id,content,label
21,蛮不错的，闺蜜是来看任泉的，扑了个空，陪她一起疯。。抛开个人情感因素，火锅本身蛮好吃的，辣也辣的彻底，不辣的番茄锅底很好喝，但是清汤锅底基本没味道。既然服务已经这么好了，建议每桌放个小钟，记录秒数的，食物下锅时间更精准。然后每桌送点小纪念品什么的。另外，再帮闺蜜呼吁一下，我闺蜜微博账号 傻乎乎和高冷的故事，她很喜欢任泉，虽然任泉转战幕后了，但如果有机会的话，她想见你们老板一面。。（玛丽苏女主你们要包容下，）就酱啦，火锅店很成功！,-2
22,"今站购物中心里面乱糟糟的，加上人有点多，就更加让人抓狂了，这家位置有点挨里面，有点偏的感觉。
店名是台北台北鲜虾馆，肯定是以吃虾为主的一家馆子。点了三种虾，胡椒虾、柠檬虾、奶油虾，据说虾是每天空运过来的，确实个头比较大，也新鲜，但是基本上都不咋个入味，除了柠檬虾好点以外，其他两种剥了壳没啥味道。柠檬是属于酸辣口味，奶油有点欣赏不来，胡椒味道一般。虾真的很一般，但是店里面的台湾小吃简直是弥补了虾的不足。爆浆大鸡排，好大两个鸡排，里面是芝士，店员帮忙切开，每一块都好大，味道香酥，简直太喜欢了。深坑脆皮豆腐应该也是炸过一下的，表皮脆脆的，里面很细嫩，配上咸菜还是不错。大肠包小肠就很一般了，但是某人非要点，那就点吧，高兴就好。卤肉饭很大一碗，上面卤肉和菜还是不少，但是米饭稍微有点多，到了最后就显得有点味道不足了。凤梨酥说是土凤梨酥，皮皮有点厚，但是里面的馅儿还是很好吃，又不会太甜，算是这边好吃的凤梨酥了。饮料方面，我要的冬瓜茶，还是有点欣赏不来冬瓜茶，其他的据说还是不错。后面朋友去了说绵绵冰还是挺好吃的，只有下次去吃了。
这家真的可以叫台北小吃馆了，里面的小吃都还不错，做得比较用心，而且价格便宜，相比而言招牌菜虾就很一般了，下次还是去吃小吃吧。",-2
93,这家店在宝龙新开没多久和朋友一起聚会选的这里，环境什么都还不错。上菜速度挺快的，榴莲酥拿上来还挺热乎的，皮很酥但里面的榴莲馅有点少不够榴莲味。清炒的广东菜心不错，菜心不老。滑蛋牛肉，蛋非常嫩很滑就是牛肉有点老了。鲜虾云吞里面有四颗云吞，云吞很扎实一个云吞里包了两个虾仁很好吃，面就是普通的公仔面汤还可以。菠萝咕咾肉酸酸甜甜不错。烧味拼盘有烧猪、叉烧、烧鹅和豉油鸡配了三种酱料，但感觉味道一般般。蒸凤爪蒸的很酥烂了有微微的辣味。酸汤肥牛和平常吃的不太一样，有点泰式的味道有放柠檬和香茅，酸酸的很开味。煲仔饭味道挺香的但下面的饭没啥味道。冰火菠萝油，菠萝包拿上来是温的上面的酥皮不够酥一般。四个大人一个小孩吃了三百出头，现在有代金券比较划算。,-2
94,"首先感谢大众点评网选中我，非常高兴。。。
这家店在大丰，对于我们稍微远点，但是对于一个吃货，再远都不是问题，我们一路先去逛了动物园和昭觉寺，然后直杀大丰去，这样还是比较顺路的。
#店铺环境# 这家店的装修还不错，古色古香的，我很积极，下午5点就到了，当然头一天必须预约的，虽然有点小插曲但还是很愉快的解决了，我选了一个临窗的座位，感觉还不错。
#味道#，我带了我家人去吃，我父母觉得还不错。最重要的是吃了火锅，身上居然没啥味。。
#霸王牛肉# 用牙签将牛肉和金针菇串在一起，吃进嘴里，感觉还不错。
#海带芽# 滑滑的，个人觉得烫红锅好吃。
#虾滑#我家宝贝吃的比较多。虾味很浓，好吃
#服务#因为他们事先不知道有这个霸王餐，我们在验证的时候稍微化了点时间，不过还是很愉快的解决了。服务态度非常好，没有因为我们吃霸王餐就冷脸，而且在解决问题的时候一直是笑嘻嘻的给我们解释。我当时心想，就算没有吃成，我还是觉得他们服务很好。
这家店的八宝粥、蛋炒饭、银耳汤都是免费的哦，不过分量还是挺足的，点了一瓶饮料，就没有吃这些了。而且生意很好哦。我们是第一个去的，吃完的时候基本都满座了，不知道二楼什么情况，建议去吃的朋友提前一天预约哦。
总的来说，这家店各方面都还不错，就是稍微远了一点，不然还会去的。赞！！！
图片上传不了。。。",-2
142,最早刚开业的时候来过一次，朋友过生日，四个人吃了二百多点的，完全吃不了，造成我第一次吃火锅打包，是不是很二傻。^O^因为这家是小锅，我个人比较喜欢北京铜锅的感觉，所以有段时间没来。最近这个月已经去了两次了，准备过两天朋友来威海再带来这里。一来是环境独特，不说特别高档吧，但年轻人一般都会喜欢，这种有点主题的装修。二来外地人来威海就是吃海鲜，那来你家是准没错了，经济实惠还有面子。店家属于小科旗下的，那就让人安心了，在威海自助一直是小科家。也秉承了小科的自助风尚，爆米花，水果，冰淇淋自助。服务比较不错，就是老有人过来看菜单，让我有点郁闷。菜品都是打亲情牌，实惠，味道鲜美，尤其喜欢虾滑，货真价实的大虾仁在里面，吃着好满足的。抽奖环节一直都有，虽然大小都是奖，但是这种方式很迎合顾客，让人心里很开心。,-2
143,老公大人生日，想老半天定哪里的蛋糕，因为广州的高档酒店蛋糕都吃的差不多了，小店的就更不在话下了，好吃的基本全部吃过！没吃过的这辈子也不会想吃^_^。。后来突然想起文华东方也有饼店，只可惜到店只有六款，坦白说，从造型上讲六款都很大气，但并没什么特别。口味也很普通大众，他家有的随便哪家也都有，但味道还是要试一下，所以要了重芝士，吃的时候我并不觉得芝士够重，个人更喜欢丽思卡尔顿酒店的芝士蛋糕。不过老公很喜欢，觉得不甜不腻，他喜欢我就算是功成名就啦～因为是他过生日嘛！蛋糕很细腻，吃起来也很松软，有些芝士蛋糕味道吃起来也很重但是很硬的，可能也许是有XX胶吧哈哈哈，所以我坚信文华的蛋糕一定没有$_$…要提一个建议就是文华提供的刀叉碟并不是给你一套有几个，而是你要几副他就给你几副，且蜡烛和碟子的质量并不好，看起来跟蛋糕的气质完全不搭，更不能与酒店的身份同级而语了。别家的叉碟质量都很赞的啦！要知道对于一定级别的吃货来说，一次性用具也是很影响口感的～对了，这个蛋糕是1.5磅的，很小只适合两个人庆祝，如果人多，建议定3磅。,-2
23,还挺好的，因为现在支付宝做折扣活动，打折挺狠。第一次吃虾肉火锅，他家虾很新鲜啊，而且火锅味道炒鸡赞，总体说就是很有味。但是虾入味却差一些，最好的还是虾吃完了涮肉的味道，肉味很足，也用不到蘸料，但是其他的豆制品需要蘸料提味。位置就在雨田旁边，挺好找的，服务态度相对就有点差了，而且屋里味道很大啊，吃完了回家就得大洗要不味道太大了。同学说现在店内做减钱的活动是发状态点赞，真是越来越难便宜了唉……_(:_」∠)_,-2
24,探鱼，就是每次等位都要等一个小时（还好大众点评可以网上排队），有点贵有点文艺，味道一般的烤鱼店。西城都荟这家店，我们也找了很久，原来不在商场内，是在门口的，有露天的位置。第一次来是吃黑椒味，感觉还不错。现在这个味居然取消了。点了个招牌重庆豆花烤鱼，豆花无论煮多久都不入味，不好吃。鱼的味道也不够香，价格也贵，150一条鱼。。。不过值得推荐的是烤牛蛙和糖醋排骨，好吃，也有点小贵。送的凉粉也不好吃了。。。感觉越来越差了。。。,-2
25,首先引座员非常负责任，我订座因为信号不好，收到提醒信息时已经过了3位，门口的小姑娘积极帮我想办法解决了：其次服务员态度特别好，点菜前先上了两碟小凉菜边吃边点，然后我点了一份cctv沙拉一份商圈大卷一份焗扇贝还有一份三文鱼刺身，好友说够了，我看图片份量不是很大怕不够吃，问服务员她老实地回答肯定会够吃的。幸好听了她的后来两个人吃撑了都～食材都很新鲜，不过好友说吃过更新鲜一点的鱼籽，，味道还是一如既往棒棒哒(=^x^=)用点评网买单还优惠了28元，挺划算的^_^唯一遗憾是逛了一下午饿坏了没想起来拍照片（≧∇≦）,-2
26,不会再去的店，周末中午去的，到的时候有5.6桌人，点了7个菜4个人吃，被告知点的蔬菜色拉没有了，真的是没货了，不是没有这个菜，因为刚看到一盘从我们面前走过，晕，才中午好么，就没菜了，然后买单，又被告知，刷卡额度已满需现金支付，汗，这到底要不要做生意啊！再说说菜品，6个菜愣是没吃饱，味道也不好，唯一一个比较觉得好吃的是腊肉炒饭，什么叉烧包，云吞面的，难吃！78折，价格是不贵，可是感觉我也不会再光顾了！,-2
